province_key,target,rows,mae,rmse,r2,baseline_mae,mae_improvement_pct,actual_mean,predicted_mean,mean_bias,actual_std,predicted_std,actual_min,predicted_min,actual_max,predicted_max,within_tolerance_pct,tolerance
ba_ria_vung_tau,target_currentspeed,10952,1.6119309126318364,2.0952790945733883,0.955002959463285,2.4040629863739014,32.94972212591045,37.44305419921875,37.42880006794896,-0.01425142877168333,9.877565383911133,9.578899219151626,6.0,8.994508575619028,57.29999923706055,52.60936191003238,97.82688093498905,5.0
dong_nai,target_currentspeed,15059,1.6547704240389993,2.240271658812159,0.9378584482477108,2.5610265731811523,35.38644068095149,41.394805908203125,41.243179009795604,-0.15162807994027655,8.986894607543945,8.750104743879714,6.0,7.271887149076559,58.20000076293945,53.171183002826126,97.28401620293512,5.0
ho_chi_minh,target_currentspeed,30118,1.493904410951603,1.9621296950550644,0.9602706910060517,2.262394666671753,33.9680015622866,27.638765335083008,27.523113315441073,-0.11565087653416985,9.844014167785645,9.742172324767354,6.0,6.995539608020638,56.599998474121094,51.75923884915735,98.24025499701176,5.0
long_an,target_currentspeed,20535,1.628096456087962,2.122583648353002,0.9277631176454744,2.4264912605285645,32.903263136694235,42.64080810546875,42.52618005666156,-0.1146283246691506,7.897421360015869,7.592223437605866,10.399999618530273,15.52949118343735,60.099998474121094,53.42743796535743,97.58948137326516,5.0
tay_ninh,target_currentspeed,12321,1.5285673695233086,1.9698707070503318,0.9526506181084077,2.316427230834961,34.01185458468586,40.368492126464844,40.347752993005116,-0.020739827990982788,9.052750587463379,8.862090975561898,13.5,15.062582707878404,58.70000076293945,53.7369695887316,98.53096339582827,5.0
ba_ria_vung_tau,target_traffic_density,10952,0.02807225606052827,0.03772947265752875,0.9337091203370543,0.04397735744714737,36.1665691389804,0.19797299802303314,0.19801637229044863,4.33993685657474e-05,0.14653921127319336,0.13964414324281477,0.0,0.019012714862188185,0.8399999737739563,0.7570891158657101,85.2081811541271,0.05
dong_nai,target_traffic_density,15059,0.026681800220633912,0.038216073251979024,0.9241500724527567,0.04229962080717087,36.92189265178787,0.18569226562976837,0.188666388614858,0.0029741116694492016,0.13876134157180786,0.13320846556938942,0.0,0.03261855228587146,0.8500000238418579,0.8022527783963038,88.41224516900192,0.05
ho_chi_minh,target_traffic_density,30118,0.03172372207279481,0.04359735459498231,0.9344581052884102,0.05140446871519089,38.286061765248995,0.2697562873363495,0.2733498243548186,0.0035935324976676375,0.17029450833797455,0.16602450996292004,0.0,0.022441814544395994,0.8600000143051147,0.8289223289316151,81.20725147752175,0.05
long_an,target_traffic_density,20535,0.02583642454827741,0.034442769817822044,0.9126923836477034,0.03926856070756912,34.2058275558407,0.15101191401481628,0.15375368618237975,0.0027417554267057244,0.11656602472066879,0.1104726866993979,0.0,0.023947520940480853,0.7799999713897705,0.673796302379855,88.43925006087167,0.05
tay_ninh,target_traffic_density,12321,0.024514773798682603,0.032513086872140946,0.9310026926357462,0.03873305395245552,36.70838909636645,0.18701891601085663,0.1883224820011235,0.001303571254987049,0.12377762049436569,0.12047324392003127,0.0,0.031107060880025506,0.6600000262260437,0.6148438995772797,90.21994967940914,0.05
ba_ria_vung_tau,target_us_aqi,10952,10.107711183560763,14.706763716119433,0.47021514555070054,10.874817848205566,7.05397253868838,63.807342529296875,65.03840477824217,1.2310636533334693,20.205394744873047,15.392353366271864,27.0,36.29563922752513,175.0,147.26053682357326,88.52264426588751,20.0
dong_nai,target_us_aqi,15059,13.501036723816481,18.419274231256875,0.525454320010138,15.613387107849121,13.529097622710733,78.67919158935547,78.96157340490846,0.2823782392268111,26.73828125,21.033597586579464,24.0,34.57676497213344,184.0,158.04788903502433,79.41430373862806,20.0
ho_chi_minh,target_us_aqi,30118,16.45476685623442,21.175057951638827,0.43276666677840936,19.60236358642578,16.057230630958216,98.97516632080078,100.98941451221613,2.0142501586734056,28.115365982055664,20.54648451221248,32.0,39.9383369538819,208.0,161.2178860934206,70.20718507204994,20.0
long_an,target_us_aqi,20535,17.72167899692901,22.14350981209058,0.4305736220350679,19.90650177001953,10.975422996626174,101.6081314086914,106.16811692287122,4.559984466090117,29.34456443786621,22.05272943676872,32.0,48.772195981798816,205.0,161.19455390559395,63.03871439006574,20.0
tay_ninh,target_us_aqi,12321,16.095462101913085,20.772071826734607,0.5092922102302004,18.521953582763672,13.100623916413726,83.54833221435547,83.47354902658584,-0.07478308931383289,29.65298080444336,20.92894425764491,26.0,37.45369922601825,195.0,139.59526148431019,69.92127262397533,20.0
